Label,Message,urgency_result_label,urgency_result_score,threatening_result_label,threatening_result_score,requesting_personal_information_result_label,requesting_personal_information_result_score,gift_card_offer_result_label,gift_card_offer_result_score,requesting_money_result_label,requesting_money_result_score,update_bill_result_label,update_bill_result_score,prior_activity_result_label,prior_activity_result_score
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1.0,0.51,TRUE,0.62,FALSE,0.64,FALSE,0.59,FALSE,0.52,FALSE,0.60,FALSE,0.63
ham,Is that seriously how you spell his name?,0.0,0.79,FALSE,0.53,FALSE,0.76,FALSE,0.76,FALSE,0.68,FALSE,0.85,FALSE,0.73
ham,I‰Û÷m going to try for 2 months ha ha only joking,0.0,0.50,TRUE,0.53,TRUE,0.54,FALSE,0.56,TRUE,0.56,FALSE,0.53,TRUE,0.52
ham,So Ì_ pay first lar... Then when is da stock comin...,1.0,0.57,FALSE,0.52,FALSE,0.88,FALSE,0.61,FALSE,0.61,FALSE,0.75,FALSE,0.79
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,1.0,0.57,TRUE,0.56,FALSE,0.55,FALSE,0.61,TRUE,0.53,FALSE,0.66,FALSE,0.59
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0.0,0.85,FALSE,0.73,FALSE,0.80,FALSE,0.52,FALSE,0.69,FALSE,0.74,FALSE,0.59
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,1.0,0.70,TRUE,0.66,FALSE,0.81,FALSE,0.56,TRUE,0.53,FALSE,0.71,FALSE,0.62
ham,Lol your always so convincing.,1.0,0.59,FALSE,0.61,TRUE,0.70,FALSE,0.71,FALSE,0.70,TRUE,0.50,FALSE,0.64
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0.0,0.88,FALSE,0.63,FALSE,0.74,FALSE,0.78,FALSE,0.62,FALSE,0.78,FALSE,0.55
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0.0,0.87,FALSE,0.65,FALSE,0.74,FALSE,0.77,FALSE,0.73,FALSE,0.81,FALSE,0.81
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0.0,0.62,FALSE,0.59,FALSE,0.55,FALSE,0.61,FALSE,0.51,FALSE,0.66,FALSE,0.59
